well,plate_name,conc
A1,PCE038,370.5
B1,PCE038,97.7
C1,PCE038,541.3
D1,PCE038,252
E1,PCE038,285.7
F1,PCE038,173.3
G1,PCE038,230.5
H1,PCE038,612.9
A2,PCE038,249.1
B2,PCE038,832.5
C2,PCE038,822.5
D2,PCE038,928.9
E2,PCE038,208.4
F2,PCE038,103.5
G2,PCE038,112.6
H2,PCE038,228.5
A3,PCE038,752.8
B3,PCE038,284.8
C3,PCE038,28.9
D3,PCE038,28.5
E3,PCE038,424.7
F3,PCE038,113.2
G3,PCE038,333.2
H3,PCE038,388.2
A4,PCE038,343.2
B4,PCE038,348.6
C4,PCE038,146.4
D4,PCE038,348
E4,PCE038,224.8
F4,PCE038,279.3
G4,PCE038,49.3
H4,PCE038,105
A5,PCE038,524.2
B5,PCE038,607.1
C5,PCE038,307.9
D5,PCE038,240.2
E5,PCE038,308.8
F5,PCE038,247.7
G5,PCE038,316.7
H5,PCE038,164.7
A6,PCE038,261.9
B6,PCE038,254.7
C6,PCE038,566.6
D6,PCE038,178.2
E6,PCE038,494.4
F6,PCE038,37.4
G6,PCE038,104.6
H6,PCE038,247.7
